clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,Bulldog,,,,126,26,0
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,German Shepherd,,,,109,13,1
C-6941229,Walgreens,IA,West,,American Shorthair,,,108,10,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Beagle,,Angelfish,Parrotlet,166,26,0
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,,American Shorthair,,,163,21,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,,,,,66,19,1
C-8350481,DSHealthcare,MA,South,Boxer,,Cory Catfish,Parrotlet,120,20,1
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,German Shepherd,,,,41,21,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,Beagle,,,,134,22,1
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,Labrador Retriever,,,,168,15,1
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,,Persian,,,128,12,1
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,German Shepherd,,Guppy,Lovebird,156,24,1
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,Boxer,Sphynx,,,106,28,0
C-7173048,Empack,CO,West,Beagle,,,,145,16,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Labrador Retriever,Scottish Fold,Betta Fish,Lovebird,97,18,1
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,Golden Retriever,Scottish Fold,,,78,2,1
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,,,Goldfish,Parrotlet,161,15,1
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,,Scottish Fold,,,59,12,1
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,,,,,100,16,1
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,,Sphynx,,,85,25,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,,Sphynx,,,104,31,0
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,,,,,138,19,1
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,Golden Retriever,,,,183,21,1
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,Yorkshire Terrier,,,,99,19,1
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,Yorkshire Terrier,,,,79,19,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,Bulldog,,,,104,16,1
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,,,,,103,18,1
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,Golden Retriever,,Goldfish,Finch,94,28,1
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,Golden Retriever,Maine Coone,,,110,24,1
C-3829341,Walgreens,CA,West,,,Angelfish,Dove,109,18,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,,,,169,23,1
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,,Persian,,,113,19,1
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,German Shepherd,,,,123,13,1
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,Bulldog,,,,138,27,0
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,Bulldog,,,,101,22,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Labrador Retriever,,,,128,18,1
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,,,Guppy,Parrotlet,54,15,1
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,Boxer,,,,90,12,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,Yorkshire Terrier,,,,161,22,1
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,Maine Coone,,,145,14,1
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,,,,,118,20,1
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,,Persian,,,171,19,1
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,German Shepherd,,Guppy,African Gray Parrot,54,18,1
C-3337444,Barr Laboratories Pet and Animal Emerging Clinic,IL,West,,Scottish Fold,Angelfish,Parrotlet,104,20,1
C-4225828,Nelco Laboratories Pet and Animal Emerging Clinic,RI,Northeast,,American Bobtail,,,168,25,0
C-5741001,AvKARE Pet and Animal Emerging Clinic,KS,South,Labrador Retriever,,,,140,27,0
C-6575705,Vivier Pharma Pet and Animal Emerging Clinic,AK,#N/A,Boxer,,,,133,13,1
C-6026626,Mycone Dental Supply Co. Inc DBA Keystone Industries and Deepak Products Pet and Animal Emerging Clinic,FL,South,Golden Retriever,,Angelfish,Lovebird,98,22,1
C-4936699,Alvogen Pet and Animal Emerging Clinic,OK,Midwest,Beagle,Persian,,,77,17,1
C-6864956,Ningbo Meiduo General Products Co. Pet and Animal Emerging Clinic,FL,South,Yorkshire Terrier,American Bobtail,,,127,21,1
C-4080038,Lake Erie Medical DBA Quality Care Products Pet and Animal Emerging Clinic,AZ,West,Boxer,,,,90,23,1
C-6902175,SESVALIA USA Pet and Animal Emerging Clinic,AZ,West,Golden Retriever,,,,120,22,1
C-0303641,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,,American Shorthair,,,87,18,1
C-7094024,Jubilant HollisterStier Pet and Animal Emerging Clinic,NC,West,Beagle,,,,121,27,0
C-9070137,Laboratoires Clarins Pet and Animal Emerging Clinic,NV,Northeast,Golden Retriever,,,,94,24,1
C-8822018,MAKEUP ART Pet and Animal Emerging Clinic,CA,West,,,,,108,28,0
C-5030646,Physicians Total Care Pet and Animal Emerging Clinic,NY,Northeast,,,,,177,26,0
C-0905807,West-ward Pharmaceutical Pet and Animal Emerging Clinic,GA,South,Bulldog,,,,130,21,1
C-2118723,Markwins Beauty Products Pet and Animal Emerging Clinic,WI,South,Beagle,,,,108,26,0
C-5117804,NASH-FINCH Pet and Animal Emerging Clinic,IL,West,Golden Retriever,,,,148,13,1
C-0007799,Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,PA,West,Yorkshire Terrier,,,,79,24,1
C-7032303,Cephalon Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,,,,105,22,1
C-4646107,STAT Rx USA Pet and Animal Emerging Clinic,NY,Northeast,,,,,91,21,1
C-0009958,Colgate Oral Pharmaceuticals Pet and Animal Emerging Clinic,OK,Midwest,Golden Retriever,,,,104,21,1
C-2961266,B. Braun Medical Pet and Animal Emerging Clinic,FL,South,Beagle,,,,117,23,1
C-5284095,Sandoz Pet and Animal Emerging Clinic,AZ,West,,,,,143,28,0
C-4266841,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Golden Retriever,,,,128,12,1
C-4563046,AAA Pharmaceutical Pet and Animal Emerging Clinic,IL,West,Beagle,Persian,,,137,14,1
C-3060634,Cargo Cosmetics Pet and Animal Emerging Clinic,CA,West,,,,,88,21,1
C-1765085,Sandoz Pet and Animal Emerging Clinic,FL,South,,,,,80,28,1
