clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,,,,,124,10,1
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,Yorkshire Terrier,,,,111,21,1
C-6941229,Walgreens,IA,West,,,,,104,20,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Golden Retriever,,,,147,22,1
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Labrador Retriever,,,,122,23,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,Labrador Retriever,Persian,,,86,20,1
C-8350481,DSHealthcare,MA,South,Bulldog,American Shorthair,,,95,19,1
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,,,,,116,9,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,,,,,138,25,0
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,,Maine Coone,,,96,27,1
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,Beagle,Siamese,,,122,17,1
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,Golden Retriever,,,,189,16,1
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,,,,,147,8,1
C-7173048,Empack,CO,West,German Shepherd,American Bobtail,Cory Catfish,Dove,122,12,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Bulldog,,,,141,24,1
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,,American Bobtail,,,112,17,1
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,,Persian,Goldfish,Dove,126,22,1
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,Yorkshire Terrier,Maine Coone,,,104,26,0
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Bulldog,Siamese,,,133,16,1
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,,,,,146,16,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,Labrador Retriever,American Shorthair,,,118,27,0
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,,Siamese,,,84,17,1
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,,American Shorthair,,,53,16,1
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,,,,,131,32,0
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,Yorkshire Terrier,,,,98,18,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,Beagle,,,,131,20,1
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,Yorkshire Terrier,,,,136,14,1
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,Yorkshire Terrier,,,,147,14,1
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,Beagle,,,,127,22,1
C-3829341,Walgreens,CA,West,Boxer,Persian,,,114,17,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,,Betta Fish,Dove,155,22,1
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,,,,,136,21,1
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,Yorkshire Terrier,Scottish Fold,,,115,17,1
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,Beagle,,,,155,19,1
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,Golden Retriever,Persian,Betta Fish,Finch,65,23,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Yorkshire Terrier,Maine Coone,Angelfish,Dove,158,26,0
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,Labrador Retriever,,,,120,28,0
