clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,,,,,122,13,1
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,Bulldog,,,,120,23,1
C-6941229,Walgreens,IA,West,,,,,114,18,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Golden Retriever,Persian,,,147,4,1
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Labrador Retriever,,,,122,14,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,,Persian,,,107,24,1
C-8350481,DSHealthcare,MA,South,German Shepherd,,,,65,24,1
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,,,,,79,28,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,Boxer,,,,143,23,1
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,,,,,142,27,0
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,,,,,155,31,0
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,,,,,108,25,0
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,,,,132,16,1
C-7173048,Empack,CO,West,,,,,118,23,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Bulldog,,Goldfish,Parrotlet,80,26,1
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,Labrador Retriever,,,,110,21,1
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,,,,,150,14,1
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,Beagle,,,,126,14,1
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Labrador Retriever,,,,60,21,1
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,,Scottish Fold,,,127,23,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,,Sphynx,,,98,23,1
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,,Persian,,,113,23,1
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,,,,137,19,1
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,Yorkshire Terrier,,,,133,22,1
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,,,,,157,22,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,Labrador Retriever,,,,91,17,1
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,German Shepherd,,,,110,24,1
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,Bulldog,,,,104,31,0
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,,Scottish Fold,,,58,16,1
C-3829341,Walgreens,CA,West,,Maine Coone,,,93,23,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,Siamese,,,98,22,1
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,Boxer,,,,95,22,1
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,,Siamese,,,133,23,1
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,Beagle,,Goldfish,African Gray Parrot,152,8,1
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,Golden Retriever,,,,85,25,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Golden Retriever,,,,117,18,1
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,Beagle,,,,131,15,1
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,German Shepherd,,,,77,26,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,Boxer,,,,95,17,1
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,,,Guppy,Lovebird,100,28,0
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,Golden Retriever,,,,38,20,1
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,Golden Retriever,,,,151,23,1
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,German Shepherd,,,,138,27,0
