clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,German Shepherd,Maine Coone,,,150,19,1
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,Golden Retriever,Persian,,,173,23,1
C-6941229,Walgreens,IA,West,Labrador Retriever,,,,112,22,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Beagle,,,,120,17,1
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Beagle,,,,80,23,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,Boxer,,,,87,23,1
C-8350481,DSHealthcare,MA,South,Bulldog,,Goldfish,Lovebird,141,25,0
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,Golden Retriever,,,,109,29,0
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,German Shepherd,,,,139,25,0
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,Labrador Retriever,Sphynx,,,146,22,1
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,,Maine Coone,,,145,16,1
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,Boxer,,,,144,18,1
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,Labrador Retriever,,,,139,9,1
C-7173048,Empack,CO,West,,Scottish Fold,,,154,12,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Boxer,,,,144,26,0
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,,,,,144,21,1
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,Beagle,,,,116,35,0
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,,,Betta Fish,Finch,128,23,1
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,,,,,81,21,1
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,German Shepherd,Scottish Fold,,,108,23,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,Bulldog,American Bobtail,,,109,21,1
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,Yorkshire Terrier,,Cory Catfish,African Gray Parrot,92,17,1
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,,,,105,21,1
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,Boxer,,,,110,13,1
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,,Cory Catfish,Dove,164,12,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,,,,,89,28,1
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,Yorkshire Terrier,,,,108,22,1
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,Yorkshire Terrier,Sphynx,,,114,13,1
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,Beagle,,,,130,14,1
C-3829341,Walgreens,CA,West,German Shepherd,,,,73,17,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,Golden Retriever,,,,116,23,1
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,Beagle,,,,96,14,1
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,,Sphynx,Goldfish,Parrotlet,146,22,1
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,,,,,155,19,1
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,,Persian,,,154,22,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Golden Retriever,,,,155,25,0
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,,,,,122,26,0
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,Boxer,,Goldfish,Lovebird,103,22,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,,,,,119,26,0
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,Bulldog,,,,107,18,1
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,Labrador Retriever,,,,98,19,1
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,Beagle,,,,157,22,1
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,,Persian,,,84,13,1
C-3337444,Barr Laboratories Pet and Animal Emerging Clinic,IL,West,,,,,115,18,1
C-4225828,Nelco Laboratories Pet and Animal Emerging Clinic,RI,Northeast,,,,,166,26,0
C-5741001,AvKARE Pet and Animal Emerging Clinic,KS,South,,Persian,Betta Fish,Finch,115,17,1
C-6575705,Vivier Pharma Pet and Animal Emerging Clinic,AK,#N/A,,American Shorthair,,,165,17,1
C-6026626,Mycone Dental Supply Co. Inc DBA Keystone Industries and Deepak Products Pet and Animal Emerging Clinic,FL,South,Labrador Retriever,,,,107,18,1
C-4936699,Alvogen Pet and Animal Emerging Clinic,OK,Midwest,Yorkshire Terrier,Maine Coone,,,110,20,1
C-6864956,Ningbo Meiduo General Products Co. Pet and Animal Emerging Clinic,FL,South,Yorkshire Terrier,Maine Coone,,,122,14,1
C-4080038,Lake Erie Medical DBA Quality Care Products Pet and Animal Emerging Clinic,AZ,West,Golden Retriever,Siamese,,,99,21,1
C-6902175,SESVALIA USA Pet and Animal Emerging Clinic,AZ,West,Bulldog,,,,78,21,1
C-0303641,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Boxer,,,,122,23,1
C-7094024,Jubilant HollisterStier Pet and Animal Emerging Clinic,NC,West,,,,,66,22,1
C-9070137,Laboratoires Clarins Pet and Animal Emerging Clinic,NV,Northeast,Golden Retriever,,Betta Fish,Parrotlet,105,17,1
C-8822018,MAKEUP ART Pet and Animal Emerging Clinic,CA,West,Golden Retriever,,,,107,19,1
C-5030646,Physicians Total Care Pet and Animal Emerging Clinic,NY,Northeast,,,,,141,14,1
C-0905807,West-ward Pharmaceutical Pet and Animal Emerging Clinic,GA,South,Beagle,Persian,,,112,21,1
C-2118723,Markwins Beauty Products Pet and Animal Emerging Clinic,WI,South,,,,,102,22,1
