review_id,clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended,,,,,,,,,,
1,C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,,,,,123,29,0,,,,,,,,,,
2,C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,,,,,102,26,0,,,,,,,,,,
3,C-6941229,Walgreens,IA,West,,,,,168,23,0,,,,,,,,,,
4,C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,Sphynx,,,146,13,1,,,,,,,,,,
5,C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Bulldog,,,,181,14,1,,,,,,,,,,
6,C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,German Shepherd,,,,146,19,1,,,,,,,,,,
7,C-8350481,DSHealthcare,MA,South,Labrador Retriever,,,,150,24,0,,,,,,,,,,
8,C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,,,Goldfish,Finch,135,22,0,,,,,,,,,,
9,C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,,,,,98,20,1,,,,,,,,,,
10,C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,Golden Retriever,Sphynx,,,112,23,0,,,,,,,,,,
11,C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,Beagle,,,,108,23,0,,,,,,,,,,
12,C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,Golden Retriever,,,,124,15,1,,,,,,,,,,
13,C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,,Persian,Goldfish,Parrotlet,131,20,0,,,,,,,,,,
14,C-7173048,Empack,CO,West,Golden Retriever,,Angelfish,Finch,119,21,0,,,,,,,,,,
15,C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,,,,,104,19,1,,,,,,,,,,
16,C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,,,Angelfish,Finch,176,18,1,,,,,,,,,,
17,C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,Beagle,American Shorthair,,,101,21,0,,,,,,,,,,
18,C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,,American Bobtail,,,111,22,0,,,,,,,,,,
19,C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Boxer,,,,172,20,0,,,,,,,,,,
20,C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,,Scottish Fold,Cory Catfish,African Gray Parrot,138,18,1,,,,,,,,,,
21,C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,Yorkshire Terrier,,,,145,23,0,,,,,,,,,,
22,C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,,American Bobtail,,,138,16,1,,,,,,,,,,
23,C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,Beagle,,,,150,17,1,,,,,,,,,,
24,C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,,,,,122,17,1,,,,,,,,,,
25,C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,,,,117,14,1,,,,,,,,,,
26,C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,,Maine Coone,,,109,29,0,,,,,,,,,,
27,C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,Boxer,,,,138,17,1,,,,,,,,,,
28,C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,,American Bobtail,,,49,21,1,,,,,,,,,,
29,C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,,,,,128,19,1,,,,,,,,,,
30,C-3829341,Walgreens,CA,West,,,,,135,23,0,,,,,,,,,,
31,C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,,,,64,16,1,,,,,,,,,,
32,C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,,American Bobtail,,,177,21,0,,,,,,,,,,
33,C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,Beagle,,,,98,16,1,,,,,,,,,,
34,C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,Labrador Retriever,,,,116,14,1,,,,,,,,,,
35,C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,Boxer,,,,73,18,1,,,,,,,,,,
36,C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Bulldog,Sphynx,,,104,14,1,,,,,,,,,,
37,C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,,,,,99,18,1,,,,,,,,,,
38,C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,Beagle,,,,108,18,1,,,,,,,,,,
39,C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,German Shepherd,Siamese,,,90,20,1,,,,,,,,,,
40,C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,Bulldog,,,,151,19,1,,,,,,,,,,
41,C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,Golden Retriever,Scottish Fold,,,172,19,1,,,,,,,,,,
