clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,German Shepherd,,,,138,21,0
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,,,,,122,33,0
C-6941229,Walgreens,IA,West,German Shepherd,,,,144,26,0
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,,Siamese,,,130,25,0
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Boxer,,,,105,13,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,,,,,99,29,1
C-8350481,DSHealthcare,MA,South,,,,,144,9,1
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,Labrador Retriever,Sphynx,,,108,18,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,Labrador Retriever,,,,120,21,0
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,,,,,39,26,1
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,Labrador Retriever,,,,115,20,1
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,,Maine Coone,,,112,23,0
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,Bulldog,,,,112,17,1
C-7173048,Empack,CO,West,Beagle,,,,137,20,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Boxer,,,,108,22,0
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,Yorkshire Terrier,,,,128,17,1
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,Golden Retriever,,,,157,23,0
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,German Shepherd,,,,151,23,0
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Yorkshire Terrier,Scottish Fold,,,118,33,0
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,Beagle,,,,115,16,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,,,Betta Fish,Parrotlet,111,17,1
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,Yorkshire Terrier,,,,141,24,0
