clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,,,,,69,15,1
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,Beagle,,,,113,25,0
C-6941229,Walgreens,IA,West,,Scottish Fold,,,120,22,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Beagle,,,,136,19,1
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Golden Retriever,,,,130,29,0
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,,,,,155,10,1
C-8350481,DSHealthcare,MA,South,Yorkshire Terrier,,,,123,22,1
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,Golden Retriever,,Angelfish,Lovebird,125,20,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,,,Goldfish,Dove,117,24,1
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,,American Bobtail,,,99,17,1
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,Yorkshire Terrier,,,,129,17,1
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,,,,,117,16,1
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,,,,,127,15,1
C-7173048,Empack,CO,West,,American Shorthair,,,160,18,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,,Siamese,,,109,21,1
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,Yorkshire Terrier,,,,189,15,1
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,Labrador Retriever,,,,123,25,0
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,German Shepherd,,,,97,20,1
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Beagle,,,,137,15,1
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,Bulldog,American Shorthair,,,64,23,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,,Sphynx,,,149,18,1
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,Golden Retriever,,,,117,19,1
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,Boxer,,,,88,17,1
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,Boxer,,,,95,22,1
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,,,,,114,13,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,Boxer,,,,160,8,1
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,Boxer,,,,80,19,1
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,,,,,136,15,1
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,Boxer,,,,68,15,1
C-3829341,Walgreens,CA,West,,Persian,,,101,23,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,Maine Coone,,,87,32,1
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,,,,,126,21,1
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,Boxer,,,,141,20,1
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,Yorkshire Terrier,,,,96,19,1
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,Yorkshire Terrier,,,,165,26,0
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Beagle,Persian,,,117,26,0
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,Bulldog,,,,134,18,1
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,,,Goldfish,Finch,111,15,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,Yorkshire Terrier,,,,132,7,1
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,Bulldog,,,,129,21,1
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,Golden Retriever,,,,141,16,1
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,,,,,165,21,1
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,,Sphynx,,,189,30,0
C-3337444,Barr Laboratories Pet and Animal Emerging Clinic,IL,West,,American Shorthair,,,133,25,0
C-4225828,Nelco Laboratories Pet and Animal Emerging Clinic,RI,Northeast,,,,,85,19,1
C-5741001,AvKARE Pet and Animal Emerging Clinic,KS,South,,Scottish Fold,,,127,19,1
C-6575705,Vivier Pharma Pet and Animal Emerging Clinic,AK,#N/A,Beagle,Siamese,,,166,20,1
C-6026626,Mycone Dental Supply Co. Inc DBA Keystone Industries and Deepak Products Pet and Animal Emerging Clinic,FL,South,Labrador Retriever,Siamese,,,114,14,1
C-4936699,Alvogen Pet and Animal Emerging Clinic,OK,Midwest,Bulldog,,,,74,27,1
C-6864956,Ningbo Meiduo General Products Co. Pet and Animal Emerging Clinic,FL,South,Beagle,,,,125,20,1
C-4080038,Lake Erie Medical DBA Quality Care Products Pet and Animal Emerging Clinic,AZ,West,Labrador Retriever,,,,91,18,1
C-6902175,SESVALIA USA Pet and Animal Emerging Clinic,AZ,West,,,,,99,26,1
C-0303641,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Labrador Retriever,,,,112,23,1
C-7094024,Jubilant HollisterStier Pet and Animal Emerging Clinic,NC,West,Golden Retriever,,,,155,15,1
C-9070137,Laboratoires Clarins Pet and Animal Emerging Clinic,NV,Northeast,,Siamese,Cory Catfish,African Gray Parrot,118,15,1
C-8822018,MAKEUP ART Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,American Bobtail,,,157,23,1
C-5030646,Physicians Total Care Pet and Animal Emerging Clinic,NY,Northeast,,American Shorthair,,,140,20,1
C-0905807,West-ward Pharmaceutical Pet and Animal Emerging Clinic,GA,South,Golden Retriever,,,,127,29,0
C-2118723,Markwins Beauty Products Pet and Animal Emerging Clinic,WI,South,,,,,79,22,1
